,Questions,Answer,question_clean
171,  What is the meaning of dropout in Deep Learning?,"Dropout is a technique that is used to avoid overfitting a model in Deep Learning. If the dropout value is too low, then it will have minimal effect on learning. If it is too high, then the model can under-learn, thereby causing lower efficiency. Dropout is a technique that is used to avoid overfitting a model in Deep Learning. If the dropout value is too low, then it will have minimal effect on learning. If it is too high, then the model can under-learn, thereby causing lower efficiency.",meaning dropout deep learning
172,  What are tensors?,"Tensors are multidimensional arrays in Deep Learning that are used to represent data. They represent the data with higher dimensions. Due to the high-level nature of the programming languages, the syntax of tensors are easily understood and broadly used. Tensors are multidimensional arrays in Deep Learning that are used to represent data. They represent the data with higher dimensions. Due to the high-level nature of the programming languages, the syntax of tensors are easily understood and broadly used.",tensor
173,  What is the meaning of model capacity in Deep Learning?,"In Deep Learning, model capacity refers to the capacity of the model to take in a variety of mapping functions. Higher model capacity means a large amount of information can be stored in the network. We will check out neural network interview questions alongside as it is also a vital part of Deep Learning. In Deep Learning, model capacity refers to the capacity of the model to take in a variety of mapping functions. Higher model capacity means a large amount of information can be stored in the network.We will check out neural network interview questions alongside as it is also a vital part of Deep Learning.",meaning model capacity deep learning
174,  What is a Boltzmann machine?,"A Boltzmann machine is a type of recurrent neural network that uses binary decisions, alongside biases, to function. These neural networks can be hooked up together to create deep belief networks, which are very sophisticated and used to solve the most complex problems out there. A Boltzmann machine is a type of recurrent neural network that uses binary decisions, alongside biases, to function. These neural networks can be hooked up together to create deep belief networks, which are very sophisticated and used to solve the most complex problems out there.",boltzmann machine
175,  What are some of the advantages of using TensorFlow?,"TensorFlow has numerous advantages, and some of them are as follows:  High amount of flexibility and platform independence Trains using CPU and GPU Supports auto differentiation and its features Handles threads and asynchronous computation easily Open-source Has a large community   Courses you may like      TensorFlow has numerous advantages, and some of them are as follows: High amount of flexibility and platform independence Trains using CPU and GPU Supports auto differentiation and its features Handles threads and asynchronous computation easily Open-source Has a large community Courses you may like",advantage using tensorflow
176,  What is a computational graph in Deep Learning?,"A computation graph is a series of operations that are performed to take in inputs and arrange them as nodes in a graph structure. It can be considered as a way of implementing mathematical calculations into a graph. This helps in parallel processing and provides high performance in terms of computational capability. If you are looking forward to becoming an expert in Deep Learning, make sure to check out IntellipaatÃ¢ÂÂs AI Engineer Course. A computation graph is a series of operations that are performed to take in inputs and arrange them as nodes in a graph structure. It can be considered as a way of implementing mathematical calculations into a graph. This helps in parallel processing and provides high performance in terms of computational capability.If you are looking forward to becoming an expert in Deep Learning, make sure to check out IntellipaatÃ¢ÂÂs AI Engineer Course.",computational graph deep learning
177,  What is a CNN?,CNNs are convolutional neural networks that are used to perform analysis on images and visuals. These classes of neural networks can input a multi-channel image and work on it easily. These Deep Learning questions must be answered in a concise way. So make sure to understand them and revisit them if necessary. CNNs are convolutional neural networks that are used to perform analysis on images and visuals. These classes of neural networks can input a multi-channel image and work on it easily.These Deep Learning questions must be answered in a concise way. So make sure to understand them and revisit them if necessary.,cnn
178,  What are the various layers present in a CNN?,There are four main layers that form a convolutional neural network:  Convolution: These are layers consisting of entities called filters that are used as parameters to train the network. ReLu: It is used as the activation function and used always with the convolution layer. Pooling: Pooling is the concept of shrinking the complex data entities that form after convolution and is primarily used to maintain the size of an image after shrinkage. Connectedness: This is used to ensure that all of the layers in the neural network are fully connected and activation can be computed using the bias easily.  There are four main layers that form a convolutional neural network: Convolution: These are layers consisting of entities called filters that are used as parameters to train the network. ReLu: It is used as the activation function and used always with the convolution layer. Pooling: Pooling is the concept of shrinking the complex data entities that form after convolution and is primarily used to maintain the size of an image after shrinkage. Connectedness: This is used to ensure that all of the layers in the neural network are fully connected and activation can be computed using the bias easily. ,various layer present cnn
179,  What is an RNN in Deep Learning?,"RNNs stand for recurrent neural networks, which form to be a popular type of artificial neural network. They are used to process sequences of data, text, genomes, handwriting, and more. RNNs make use of backpropagation for the training requirements. RNNs stand for recurrent neural networks, which form to be a popular type of artificial neural network. They are used to process sequences of data, text, genomes, handwriting, and more. RNNs make use of backpropagation for the training requirements.",rnn deep learning
180,  What is a vanishing gradient when using RNNs?,"Vanishing gradient is a scenario that occurs when we use RNNs. Since RNNs make use of backpropagation, gradients at every step of the way will tend to get smaller as the network traverses through backward iterations. This equates to the model learning very slowly, thereby causing efficiency problems in the network. Vanishing gradient is a scenario that occurs when we use RNNs. Since RNNs make use of backpropagation, gradients at every step of the way will tend to get smaller as the network traverses through backward iterations. This equates to the model learning very slowly, thereby causing efficiency problems in the network.",vanishing gradient using rnns
181,  What is exploding gradient descent in Deep Learning?,Exploding gradients are an issue causing a scenario that clumps up the gradients. This creates a large number of updates of the weights in the model when training. The working of gradient descent is based on the condition that the updates are small and controlled. Controlling the updates will directly affect the efficiency of the model. Exploding gradients are an issue causing a scenario that clumps up the gradients. This creates a large number of updates of the weights in the model when training.The working of gradient descent is based on the condition that the updates are small and controlled. Controlling the updates will directly affect the efficiency of the model.,exploding gradient descent deep learning
182,  What is the use of LSTM?,LSTM stands for long short-term memory. It is a type of RNN that is used to sequence a string of data. It consists of feedback chains that give it the ability to perform like a general-purpose computational entity. LSTM stands for long short-term memory. It is a type of RNN that is used to sequence a string of data. It consists of feedback chains that give it the ability to perform like a general-purpose computational entity.,use lstm
183,  Where are autoencoders used?,Autoencoders have a wide variety of usage in the real world. The following are some of the popular ones:  Adding color to blackÃ¢ÂÂwhite images Removing noise from images Dimensionality reduction Feature removal and variation  Autoencoders have a wide variety of usage in the real world. The following are some of the popular ones: Adding color to blackÃ¢ÂÂwhite images Removing noise from images Dimensionality reduction Feature removal and variation ,autoencoders used
184,  What are the types of autoencoders?,There are four main types of autoencoders:  Deep autoencoders Convolutional autoencoders Sparse autoencoders Contractive autoencoders  There are four main types of autoencoders: Deep autoencoders Convolutional autoencoders Sparse autoencoders Contractive autoencoders ,type autoencoders
185,  What is a Restricted Boltzmann Machine?,"A Restricted Boltzmann Machine, or RBM for short, is an undirected graphical model that is popularly used in Deep Learning today. It is an algorithm that is used to perform:  Dimensionality reduction Regression Classification Collaborative filtering Topic modeling  Next up on this top Deep Learning interview questions and answers blog, let us take a look at the advanced questions.   Advanced Interview Questions A Restricted Boltzmann Machine, or RBM for short, is an undirected graphical model that is popularly used in Deep Learning today. It is an algorithm that is used to perform: Dimensionality reduction Regression Classification Collaborative filtering Topic modeling Next up on this top Deep Learning interview questions and answers blog, let us take a look at the advanced questions.",restricted boltzmann machine
186,  What are some of the limitations of Deep Learning?,There are a few disadvantages of Deep Learning as mentioned below:  Networks in Deep Learning require a huge amount of data to train well. Deep Learning concepts can be complex to implement sometimes. Achieving a high amount of model efficiency is difficult in many cases.  These are some of the vital advanced deep learning interview questions that you have to know about! There are a few disadvantages of Deep Learning as mentioned below: Networks in Deep Learning require a huge amount of data to train well. Deep Learning concepts can be complex to implement sometimes. Achieving a high amount of model efficiency is difficult in many cases. These are some of the vital advanced deep learning interview questions that you have to know about!,limitation deep learning
187,  What are the variants of gradient descent?,"There are three variants of gradient descent as shown below:  Stochastic gradient descent: A single training example is used for the calculation of gradient and for updating parameters. Batch gradient descent: Gradient is calculated for the entire dataset, and parameters are updated at every iteration. Mini-batch gradient descent: Samples are broken down into smaller-sized batches and then worked on as in the case of stochastic gradient descent.  There are three variants of gradient descent as shown below: Stochastic gradient descent: A single training example is used for the calculation of gradient and for updating parameters. Batch gradient descent: Gradient is calculated for the entire dataset, and parameters are updated at every iteration. Mini-batch gradient descent: Samples are broken down into smaller-sized batches and then worked on as in the case of stochastic gradient descent. ",variant gradient descent
188,  Why is mini-batch gradient descent so popular?,Mini-batch gradient descent is popular as:  It is more efficient when compared to stochastic gradient descent. Generalization is done by finding the flat minima. It helps avoid the local minima by allowing the approximation of the gradient for the entire dataset.  Mini-batch gradient descent is popular as: It is more efficient when compared to stochastic gradient descent. Generalization is done by finding the flat minima. It helps avoid the local minima by allowing the approximation of the gradient for the entire dataset. ,minibatch gradient descent popular
189,  What are deep autoencoders?,"Deep autoencoders are an extension of the regular autoencoders. Here, the first layer is responsible for the first-order function execution of the input. The second layer will take care of the second-order functions, and it goes on. Usually, a deep autoencoder is a combination of two or more symmetrical deep-belief networks where:  The first five shallow layers consist of the encoding part The other layers take care of the decoding part  On the next set of Deep Learning questions, let us look further into the topic. Deep autoencoders are an extension of the regular autoencoders. Here, the first layer is responsible for the first-order function execution of the input. The second layer will take care of the second-order functions, and it goes on.Usually, a deep autoencoder is a combination of two or more symmetrical deep-belief networks where: The first five shallow layers consist of the encoding part The other layers take care of the decoding part On the next set of Deep Learning questions, let us look further into the topic.",deep autoencoders
190,  Why is the Leaky ReLU function used in Deep Learning?,"Leaky ReLU, also called LReL, is used to manage a function to allow the passing of small-sized negative values if the input value to the network is less than zero. Leaky ReLU, also called LReL, is used to manage a function to allow the passing of small-sized negative values if the input value to the network is less than zero.",leaky relu function used deep learning
191,  What are some of the examples of supervised learning algorithms in Deep Learning?,There are three main supervised learning algorithms in Deep Learning:  Artificial neural networks Convolutional neural networks Recurrent neural networks  There are three main supervised learning algorithms in Deep Learning: Artificial neural networks Convolutional neural networks Recurrent neural networks ,example supervised learning algorithm deep learning
192,  What are some of the examples of unsupervised learning algorithms in Deep Learning?,"There are three main unsupervised learning algorithms in Deep Learning:  Autoencoders Boltzmann machines Self-organizing maps  Next up, let us look atÃÂ  more neural network interview questions that will help you ace the interviews. There are three main unsupervised learning algorithms in Deep Learning: Autoencoders Boltzmann machines Self-organizing maps Next up, let us look atÃÂ  more neural network interview questions that will help you ace the interviews.",example unsupervised learning algorithm deep learning
193,  Can we initialize the weights of a network to start from zero?,"Yes, it is possible to begin with zero initialization. However, it is not recommended to use because setting up the weights to zero initially will cause all of the neurons to produce the same output and the same gradients when performing backpropagation. This means that the network will not have the ability to learn at all due to the absence of asymmetry between each of the neurons. Yes, it is possible to begin with zero initialization. However, it is not recommended to use because setting up the weights to zero initially will cause all of the neurons to produce the same output and the same gradients when performing backpropagation. This means that the network will not have the ability to learn at all due to the absence of asymmetry between each of the neurons.",initialize weight network start zero
194,  What is the meaning of valid padding and same padding in CNN?," Valid padding: It is used when there is no requirement for padding. The output matrix will have the dimensions (n Ã¢ÂÂ f + 1) X (n Ã¢ÂÂ f + 1) after convolution. Same padding: Here, padding elements are added all around the output matrix. It will have the same dimensions as the input matrix.   Valid padding: It is used when there is no requirement for padding. The output matrix will have the dimensions (n Ã¢ÂÂ f + 1) X (n Ã¢ÂÂ f + 1) after convolution. Same padding: Here, padding elements are added all around the output matrix. It will have the same dimensions as the input matrix. ",meaning valid padding padding cnn
195,  What are some of the applications of transfer learning in Deep Learning?,"Transfer learning is a scenario where a large model is trained on a dataset with a large amount of data and this model is used on simpler datasets, thereby resulting in extremely efficient and accurate neural networks. The popular examples of transfer learning are in the case of:  BERT ResNet GPT-2 VGG-16  Transfer learning is a scenario where a large model is trained on a dataset with a large amount of data and this model is used on simpler datasets, thereby resulting in extremely efficient and accurate neural networks.The popular examples of transfer learning are in the case of: BERT ResNet GPT-2 VGG-16 ",application transfer learning deep learning
196,  How is the transformer architecture better than RNNs in Deep Learning?,"With the use of sequential processing, programmers were up against:  The usage of high processing power The difficulty of parallel execution  This caused the rise of the transformer architecture. Here, there is a mechanism called attention mechanism, which is used to map all of the dependencies between sentences, thereby making huge progress in the case of NLP models.  With the use of sequential processing, programmers were up against: The usage of high processing power The difficulty of parallel execution This caused the rise of the transformer architecture. Here, there is a mechanism called attention mechanism, which is used to map all of the dependencies between sentences, thereby making huge progress in the case of NLP models.",transformer architecture better rnns deep learning
197,  What are the steps involved in the working of an LSTM network?,There are three main steps involved in the working of an LSTM network:  The network picks up the information that it has to remember and identifies what to forget. Cell state values are updated based on Step 1. The network calculates and analyzes which part of the current state should make it to the output.  There are three main steps involved in the working of an LSTM network: The network picks up the information that it has to remember and identifies what to forget. Cell state values are updated based on Step 1. The network calculates and analyzes which part of the current state should make it to the output. ,step involved working lstm network
198,  What are the elements in TensorFlow that are programmable?,"In TensorFlow, users can program three elements:  Constants Variables Placeholders  In TensorFlow, users can program three elements: Constants Variables Placeholders ",element tensorflow programmable
199,  What is the meaning of bagging and boosting in Deep Learning?,Bagging is the concept of splitting a dataset and randomly placing it into bags for training the model. Boosting is the scenario where incorrect data points are used to force the model to produce the wrong output. This is used to retrain the model and increase accuracy. Bagging is the concept of splitting a dataset and randomly placing it into bags for training the model.Boosting is the scenario where incorrect data points are used to force the model to produce the wrong output. This is used to retrain the model and increase accuracy.,meaning bagging boosting deep learning
200,  What are generative adversarial networks (GANs)?,"Generative adversarial networks are used to achieve generative modeling in Deep Learning. It is an unsupervised task that involves the discovery of patterns in the input data to generate the output. The generator is used to generate new examples, while the discriminator is used to classify the examples generated by the generator. Generative adversarial networks are used to achieve generative modeling in Deep Learning. It is an unsupervised task that involves the discovery of patterns in the input data to generate the output.The generator is used to generate new examples, while the discriminator is used to classify the examples generated by the generator.",generative adversarial network gans
201,  Why are generative adversarial networks (GANs) so popular?,"Generative adversarial networks are used for a variety of purposes. In the case of working with images, they have a high amount of traction and efficient working.  Creation of art: GANs are used to create artistic images, sketches, and paintings. Image enhancement: They are used to greatly enhance the resolution of the input images. Image translation: They are also used to change certain aspects, such as day to night and summer to winter, in images easily.  If you are looking forward to becoming an expert in Deep Learning, make sure to check out IntellipaatÃ¢ÂÂs AI Course. With this program, you can become proficient in all of the concepts of Deep Learning and AI and earn a course certificate as well. Generative adversarial networks are used for a variety of purposes. In the case of working with images, they have a high amount of traction and efficient working. Creation of art: GANs are used to create artistic images, sketches, and paintings. Image enhancement: They are used to greatly enhance the resolution of the input images. Image translation: They are also used to change certain aspects, such as day to night and summer to winter, in images easily. ",generative adversarial network gans popular
202,  Why is it necessary to introduce non-linearities in a neural network?,"Solution: otherwise, we would have a composition of linear functions, which is also a linear function, giving a linear model. A linear model has a much smaller number of parameters, and is therefore limited in the complexity it can model.",necessary introduce nonlinearities neural network
203,  Describe two ways of dealing with the vanishing gradient problem in a neural network.,Solution:Using ReLU activation instead of sigmoid.Using Xavier initialization.,two way dealing vanishing gradient problem neural network
204,  What are some advantages in using a CNN (convolutional neural network) rather than a DNN (dense neural network) in an image classification task?,"Solution: while both models can capture the relationship between close pixels, CNNs have the following properties:It is translation invariant Ã¢ÂÂ the exact location of the pixel is irrelevant for the filter.It is less likely to overfit Ã¢ÂÂ the typical number of parameters in a CNN is much smaller than that of a DNN.Gives us a better understanding of the model Ã¢ÂÂ we can look at the filtersÃ¢ÂÂ weights and visualize what the network Ã¢ÂÂlearnedÃ¢ÂÂ.Hierarchical nature Ã¢ÂÂ learns patterns in by describing complex patterns using simpler ones.",advantage using cnn convolutional neural network rather dnn dense neural network classification task
205,  Describe two ways to visualize features of a CNN in an image classification task.,"Solution:Input occlusion Ã¢ÂÂ cover a part of the input image and see which part affect the classification the most. For instance, given a trained image classification model, give the images below as input. If, for instance, we see that the 3rd image is classified with 98% probability as a dog, while the 2nd image only with 65% accuracy, it means that the part covered in the 2nd image is more important.Activation Maximization Ã¢ÂÂ the idea is to create an artificial input image that maximize the target response (gradient ascent).",two way visualize feature cnn classification task
206,"  Is trying the following learning rates: 1, 2,Ã¢ÂÂ¦, 5 a good strategy to optimize the learning rate?","Solution: No, it is recommended to try a logarithmic scale to optimize the learning rate.",trying following learning rate 1 2ãââ 5 good strategy optimize learning rate
207,  Suppose you have a NN with 3 layers and ReLU activations. What will happen if we initialize all the weights with the same value? what if we only had 1 layer (i.e linear/logistic regression?),"Solution: If we initialize all the weights to be the same we would not be able to break the symmetry; i.e, all gradients will be updated the same and the network will not be able to learn. In the 1-layers scenario, however, the cost function is convex (linear/sigmoid) and thus the weights will always converge to the optimal point, regardless of the initial value (convergence may be slower).",suppose nn 3 layer relu activation happen initialize weight value 1 layer ie linearlogistic regression
208,  Explain the idea behind the Adam optimizer.,"Solution: Adam, or adaptive momentum, combines two ideas to improve convergence: per-parameter updates which give faster convergence, and momentum which helps to avoid getting stuck in saddle point.",idea behind adam optimizer
209,"  Compare batch, mini-batch and stochastic gradient descent.","Solution: batch refers to estimating the data by taking the entire data, mini-batch by sampling a few datapoints, and SGD refers to update the gradient one datapoint at each epoch. The tradeoff here is between how precise the calculation of the gradient is versus what size of batch we can keep in memory. Moreover, taking mini-batch rather than the entire batch has a regularizing effect by adding random noise at each epoch.",compare batch minibatch stochastic gradient descent
210,  What is data augmentation? Give examples.,"Solution: Data augmentation is a technique to increase the input data by performing manipulations on the original data. For instance in images, one can: rotate the image, reflect (flip) the image, add Gaussian blur.",data augmentation give example
211,  What is the idea behind GANs?,"Solution: GANs, or generative adversarial networks, consist of two networks (D,G) where D is the Ã¢ÂÂdiscriminatorÃ¢ÂÂ network and G is the Ã¢ÂÂgenerativeÃ¢ÂÂ network. The goal is to create data Ã¢ÂÂ images, for instance, which are undistinguishable from real images. Suppose we want to create an adversarial example of a cat. The network G will generate images. The network D will classify images according to whether they are a cat or not. The cost function of G will be constructed such that it tries to Ã¢ÂÂfoolÃ¢ÂÂ D Ã¢ÂÂ to classify its output always as cat.",idea behind gans
212,  What are the advantages of using Batchnorm?,Solution: Batchnorm accelerates the training process. It also (as a byproduct of including some noise) has a regularizing effect.,advantage using batchnorm
213,  What is multi-task learning? When should it be used?,"Solution: Multi-tasking is useful when we have a small amount of data for some task, and we would benefit from training a model on a large dataset of another task. Parameters of the models are shared Ã¢ÂÂ either in a Ã¢ÂÂhardÃ¢ÂÂ way (i.e the same parameters) or a Ã¢ÂÂsoftÃ¢ÂÂ way (i.e regularization/penalty to the cost function).",multitask learning used
214,  What is end-to-end learning? Give a few of its advantages.,"Solution: End-to-end learning is usually a model which gets the raw data and outputs directly the desired outcome, with no intermediate tasks or feature engineering. It has several advantages, among which: there is no need to handcraft features, and it generally leads to lower bias.",endtoend learning give advantage
215,  What happens if we use a ReLU activation and then a sigmoid as the final layer?,"Solution: Since ReLU always outputs a non-negative result, the network will constantly predict one class for all the inputs!",happens use relu activation sigmoid final layer
216,  How to solve the exploding gradient problem?,"Solution: A simple solution to the exploding gradient problem is gradient clipping Ã¢ÂÂ taking the gradient to be ÃÂ±M when its absolute value is bigger than M, where M is some large number.",solve exploding gradient problem
217,  Is it necessary to shuffle the training data when using batch gradient descent?,"Solution: No, because the gradient is calculated at each epoch using the entire training data, so shuffling does not make a difference.",necessary shuffle training data using batch gradient descent
218,"  When using mini batch gradient descent, why is it important to shuffle the data?","Solution: otherwise, suppose we train a NN classifier and have two classes Ã¢ÂÂ A and B, and that all samples of one class come before the other class. Not shuffling the data will make the weights converge to a wrong value.",using mini batch gradient descent important shuffle data
219,  Describe some hyperparameters for transfer learning.,"Solution: How many layers to keep, how many layers to add, how many to freeze.",hyperparameters transfer learning
220,  Is dropout used on the test set?,Solution: No! only in the train set. Dropout is a regularization technique that is applied in the training process.,dropout used test set
221,  Explain why dropout in a neural network acts as a regularizer.,"Solution: There are several (related) explanations to why dropout works. It can be seen as a form of model averaging Ã¢ÂÂ at each step we Ã¢ÂÂturn offÃ¢ÂÂ a part of the model and average the models we get. It also adds noise, which naturally has a regularizing effect. It also leads to more sparsity of the weights and essentially prevents co-adaptation of neurons in the network.",dropout neural network act regularizer
222,  Give examples in which a many-to-one RNN architecture is appropriate.,"Solution: A few examples are: sentiment analysis, gender recognition from speech.",give example manytoone rnn architecture appropriate
223,  When cant we use BiLSTM? Explain what assumption has to be made.,"Solution: in any bi-directional model, we assume that we have access to the next elements of the sequence in a given Ã¢ÂÂtimeÃ¢ÂÂ. This is the case for text data (i.e sentiment analysis, translation etc.), but not the case for time-series data.",cant use bilstm assumption made
224,  True/false: adding L2 regularization to a RNN can help with the vanishing gradient problem.,"Solution: false! Adding L2 regularization will shrink the weights towards zero, which can actually make the vanishing gradients worse in some cases.",truefalse adding l2 regularization rnn help vanishing gradient problem
225,  Suppose the training error/cost is high and that the validation cost/error is almost equal to it. What does it mean? What should be done?,"Solution: this indicates underfitting. One can add more parameters, increase the complexity of the model, or lower the regularization.",suppose training errorcost high validation costerror almost equal mean done
226,  Describe how L2 regularization can be explained as a sort of a weight decay.,"Solution: Suppose our cost function is C(w), and that we add a penalization c|w|2 . When using gradient descent, the iterations will look likew = w -grad(C)(w) Ã¢ÂÂ 2cw = (1Ã¢ÂÂ2c)w Ã¢ÂÂ grad(C)(w)In this equation, the weight is multiplied by a factor < 1.",l2 regularization explained sort weight decay
227,  What are Support Vector Machines (SVMs)?,"Ã°ÂÂÂ SVM is a supervised machine learning algorithm that works on both classification and regression problem statements.Ã°ÂÂÂ For classification problem statements, it tries to differentiate data points of different classes by finding a hyperplane that maximizes the margin between the classes in the training data.Ã°ÂÂÂ In simple words, SVM tries to choose the hyperplane which separates the data points as widely as possible since this margin maximization improves the modelÃ¢ÂÂs accuracy on the test or the unseen data.Image Source: link",support vector machine svms
228,  What are Support Vectors in SVMs?," Support vectors are those instances that are located on the margin itself. For SVMS, the decision boundary is entirely determined by using only the support vectors.Ã°ÂÂÂ Any instance that is not a support vector (not on the margin boundaries) has no influence whatsoever; you could remove them or add more instances, or move them around, and as long as they stay off the margin they wonÃ¢ÂÂt affect the decision boundary.Ã°ÂÂÂ For computing the predictions, only the support vectors are involved, not the whole training set.",support vector svms
229,  What is the basic principle of a Support Vector Machine?,"ItÃ¢ÂÂs aimed at finding an optimal hyperplane that is linearly separable, and for the dataset which is not directly linearly separable, it extends its formulation by transforming the original data to map into a new space, which is also called kernel trick.",basic principle support vector machine
230,  What are hard margin and soft Margin SVMs?,"Ã°ÂÂÂ ÃÂ Hard margin SVMs work only if the data is linearly separable and these types of SVMs are quite sensitive to the outliers.Ã°ÂÂÂ ÃÂ But our main objective is to find a good balance between keeping the margins as large as possible and limiting the margin violation i.e. instances that end up in the middle of margin or even on the wrong side, and this method is called soft margin SVM.",hard margin soft margin svms
231,  What do you mean by Hinge loss?,"The function defined by max(0, 1 Ã¢ÂÂ t) is called the hinge loss function.Image Source: linkProperties of Hinge loss function:Ã°ÂÂÂ It is equal to 0 when the value of t is greater than or equal to 1 i.e, t>=1.Ã°ÂÂÂ Its derivative (slope) is equal to Ã¢ÂÂ1 if t < 1 and 0 if t > 1.Ã°ÂÂÂ It is not differentiable at t = 1.Ã°ÂÂÂ It penalizes the model for wrongly classifying the instances and increases as far the instance is classified from the correct region of classification.",mean hinge loss
232,  What is the Kernel trick?, A Kernel is a function capable of computing the dot product of instances mapped in higher dimension space without actually transforming all the instances into the higher feature space and calculating the dot product. This trick makes the whole process much less computationally expensive than that actual transformation to calculate the dot product and this is the essence of the kernel trick.Image Source: link,kernel trick
233,  What is the role of the C hyper-parameter in SVM? Does it affect the bias/variance trade-off?,Ã°ÂÂÂ The balance between keeping the margins as large as possible and limiting the margin violation is controlled by the C parameter: a small value leads to a wider street but more margin violation and a higher value of C makes fewer margin violations but ends up with a smaller margin and overfitting.Ã°ÂÂÂ Here thing becomes a little complex as we have conflicting objectives of making the slack variables as small as possible to reduce margin violation and make W as small as possible to increase the margin. This is where the role of the C hyperparameter comes in which allows us to define the trade-off between these two objectives.,role c hyperparameter svm affect biasvariance tradeoff
234,  Explain different types of kernel functions.,"A function is called kernel if there exist a function ÃÂ that maps a and b into another space such that K(a, b) = ÃÂ(a)T ÃÂ· ÃÂ(b). So you can use K as a kernel since you just know that a mapping ÃÂ exists, even if you donÃ¢ÂÂt know what ÃÂ function is. These are the very good things about kernels.Some of the kernel functions are as follows:Ã°ÂÂÂ Polynomial Kernel:ÃÂ These are the kernel functions that represent the similarity of vectors in a feature space over polynomials of original variables.Ã°ÂÂÂ Gaussian Radial Basis Function (RBF) kernel:ÃÂ  Gaussian RBF kernel maps each training instance to an infinite-dimensional space, therefore itÃ¢ÂÂs a good thing that you donÃ¢ÂÂt need to perform the mapping.Image Source: link",different type kernel function
235,  How you formulate SVM for a regression problem statement?,"For formulating SVM as a regression problem statement we have to reverse the objective: instead of trying to fit the largest possible street between two classes which we will do for classification problem statements while limiting margin violations, now for SVM Regression, it tries to fit as many instances as possible between the margin while limiting the margin violations.",formulate svm regression problem statement
236,  What affects the decision boundary in SVM?,"Adding more instances off the margin of the hyperplane does not affect the decision boundary, it is fully determined (or supported ) by the instances located at the edge of the street called support vectors",affect decision boundary svm
237,  What is a slack variable?,"Ã°ÂÂÂ To meet the soft margin objective, we need to introduce a slack variable ÃÂµ>=0 for each sample; it measures how much any particular instance is allowed to violate the margin.Ã°ÂÂÂ Here thing becomes little complex as we have conflicting objectives of making the slack variables as small as possible to reduce margin violation and make w (weight matrix) as small as possible to increase the margin. This is where the role of theÃÂ C hyperparameter comes which allows us to define the trade-off between these two objectives.Fig. Picture Showing the slack variablesImage Source: link",slack variable
238,  What is a dual and primal problem and how is it relevant to SVMs?,"Ã°ÂÂÂ Given a constrained optimization problem, known as the Primal problem, it is possible to express a different but closely related problem, which is known as its Dual problem.Ã°ÂÂÂ The solution to the dual problem typically provides a lower bound to the solution of the primal problem, but under some conditions, it can be possible that it has even the same solutions as the primal problem.Ã°ÂÂÂ Fortunately, the SVM problem completes these conditions, so that you can choose to solve the primal problem or the dual problem; and they both will have the same solution.ÃÂ ",dual primal problem relevant svms
239,  Can an SVM classifier outputs a confidence score when it classifies an instance? What about a probability?,"Ã°ÂÂÂ An SVM classifier can give the distance between the test instance and the decision boundary as output, so we can use that as a confidence score, but we cannot use this score to directly converted it into class probabilities.Ã°ÂÂÂ But if you set probability=True when building a model of SVM in Scikit-Learn, then after training it will calibrate the probabilities using Logistic Regression on the SVMÃ¢ÂÂs scores. By using this techniques, we can add the predict_proba() and predict_log_proba() methods to the SVM model.",svm classifier output confidence score classifies instance probability
240,  If you train an SVM classifier with an RBF kernel. It seems to underfit the training dataset: should you increase or decrease theÃÂ hyper-parameterÃÂ ÃÂ³ (gamma)? What about the CÃÂ hyper-parameter?,"If we trained an SVM classifier using a Radial Basis Function (RBF) kernel, then it underfits the training set, so there might be too much regularization. To decrease it, you need to increase the gamma or C hyper-parameter.",train svm classifier rbf kernel seems underfit training dataset increase decrease theãâ hyperparameterãâ ãâ³ gamma cãâ hyperparameter
241,  Is SVM sensitive to the Feature Scaling?,"Yes, SVMs are sensitive to feature scaling as it takes input data to find the margins around hyperplanes and gets biased for the variance in high values.",svm sensitive feature scaling
242,  Can you explain SVM?,"Explanation: Support vector machines is a supervised machine learning algorithm which works both on classification and regression problems. It tries to classify data by finding a hyperplane that maximizes the margin between the classes in the training data. Hence, SVM is an example of a large margin classifier.The basic idea of support vector machines:",svm
243,  What is the geometric intuition behind SVM?,"Explanation: If you are asked to classify two different classes. There can be multiple hyperplanes which can be drawn.SVM chooses the hyperplane which separates the data points as widely as possible. SVM draws a hyperplane parallel to the actual hyperplane intersecting with the first point of class A (also known as Support Vectors) and another hyperplane parallel to the actual hyperplane intersecting with the first point of class B. SVM tries to maximize these margins. Eventually, this margin maximization improves the modelÃ¢ÂÂs accuracy on unseen data.",geometric intuition behind svm
244,  How would explain Convex Hull in light of SVMs?,Explanation: We simply build a convex hull for class A and class B and draw a perpendicular on the shortest distance between the closest points of both these hulls.,would convex hull light svms
245,  What do know about Hard Margin SVM and Soft Margin SVM?,"Explanation: If a point Xi satisfies the equation Yi(WT*Xi +b) Ã¢ÂÂ¥ 1, then Xi is correctly classified else incorrectly classified. So we can see that if the points are linearly separable then only our hyperplane is able to distinguish between them and if any outlier is introduced then it is not able to separate them. So these type of SVM is called hard margin SVM (since we have very strict constraints to correctly classify each and every data point).To overcome this, we introduce a term ( ÃÂ¾ ) (pronounced as Zeta)if ÃÂ¾i= 0, the points can be considered as correctly classified.if ÃÂ¾i> 0 , Incorrectly classified points.",know hard margin svm soft margin svm
